Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	RB11B_HUMAN	Ras-related protein Rab-11B	4ojkA	4ojkAC	RB11B_HUMAN - KGP2_RAT	-6.217	-12.578	25	32	78.13%	No expression data available	1	0.126606637	0.78125	0.098911435	-0.614932391
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxA	3rpxAB	C1QBP_HUMAN - C1QBP_HUMAN	-8.024	-16.661	25	29	86.21%	No expression data available	0.5	0.82681418	0.431034483	0.356385422	-2.859636629
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	ATD2B_HUMAN	ATPase family AAA domain-containing protein 2B	3lxjA	3lxjAC	ATD2B_HUMAN - ATD2B_HUMAN	-6.665	-7.26	17	22	77.27%	No expression data available	0.5	0.025858619	0.386363636	0.00999083	-0.066588882
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	MDM2_HUMAN	E3 ubiquitin-protein ligase Mdm2	4zycB	4zycAB	MDM2_HUMAN - MDM2_HUMAN	-7.069	-8.352	24	27	88.89%	No expression data available	0.5	0	0.444444444	0	0
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	MSL2_HUMAN	E3 ubiquitin-protein ligase MSL2	4b7yD	4b7yAD	MSL2_HUMAN - MSL1_HUMAN	-7.041	-8.391	24	28	85.71%	No expression data available	0.5	0.08190861	0.428571429	0.03510369	-0.247165082
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	CATK_HUMAN	Cathepsin K	5z5oB	5z5oAB	CATK_HUMAN - CATK_HUMAN	-5.204	-12.965	41	46	89.13%	No expression data available	1	0.463245067	0.891304348	0.412892343	-2.148691751
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88A	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-6.539	-18.038	25	44	56.82%	No expression data available	1	0.415689296	0.568181818	0.2361871	-1.544427446
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	JUN_HUMAN	Transcription factor AP-1	1jnmB	1jnmAB	JUN_HUMAN - JUN_HUMAN	-6.407	-20.025	25	40	62.50%	No expression data available	1	0.445811705	0.625	0.278632315	-1.785197244
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	ATF4_HUMAN	Cyclic AMP-dependent transcription factor ATF-4	1ci6A	1ci6AB	ATF4_HUMAN - CEBPB_MOUSE	-5.461	-20.884	25	42	59.52%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, urinary bladder, vagina"	1	0.210357134	0.595238095	0.12521258	-0.683785898
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	STK3_HUMAN	Serine/threonine-protein kinase 3	4l0nG	4l0nAG	STK3_HUMAN - STK3_HUMAN	-5.576	-4.057	20	21	95.24%	No expression data available	0.5	0	0.476190476	0	0
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	BOREA_HUMAN	Borealin	2raxB	2raxAB	BOREA_HUMAN - BIRC5_HUMAN	-5.059	-22.966	33	41	80.49%	No expression data available	1	0.32959884	0.804878049	0.265286871	-1.342086282
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2m59B	2m59AB	VGFR2_HUMAN - VGFR2_HUMAN	-5.17	-10.954	25	32	78.13%	No expression data available	1	0	0.78125	0	0
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	BAP31_HUMAN	B-cell receptor-associated protein 31	4jzpB	4jzpAB	BAP31_HUMAN - BAP31_HUMAN	-5.803	-23.841	25	42	59.52%	No expression data available	1	0.975792773	0.595238095	0.580829031	-3.370550868
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2meuB	2meuAB	VGFR2_HUMAN - VGFR2_HUMAN	-5.268	-6.608	25	35	71.43%	No expression data available	1	0.345504839	0.714285714	0.246789171	-1.30008535
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	MYPT1_HUMAN	Protein phosphatase 1 regulatory subunit 12A	5huzB	5huzAB	MYPT1_HUMAN - MYPT1_HUMAN	-8.292	-12.668	31	44	70.45%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.265027401	0.704545455	0.18672385	-1.548314167
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	KLOTB_HUMAN	Beta-klotho	5wi9A	5wi9AB	KLOTB_HUMAN - KLOTB_HUMAN	-5.716	-6.38	25	34	73.53%	No expression data available	1	0.078403832	0.735294118	0.057649876	-0.329526692
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	KIF2C_HUMAN	Kinesin-like protein KIF2C	5mioC	5mioBC	KIF2C_HUMAN - D0VWY9_SHEEP	-5.498	-13.663	48	64	75.00%	No expression data available	1.5	0.688712505	1.125	0.774801569	-4.259859024
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	PH4H_HUMAN	Phenylalanine-4-hydroxylase	2pahA	2pahAB	PH4H_HUMAN - PH4H_HUMAN	-5.505	-8.662	23	27	85.19%	No expression data available	0.5	0.209159365	0.425925926	0.089086396	-0.490420612
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2	1ovlF	1ovlCF	NR4A2_HUMAN - NR4A2_HUMAN	-7.234	-10.13	18	28	64.29%	No expression data available	0.5	0.180863211	0.321428571	0.058134604	-0.420545722
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	RB11B_HUMAN	Ras-related protein Rab-11B	4ojkA	4ojkAC	RB11B_HUMAN - KGP2_RAT	-6.899	-12.578	25	32	78.13%	No expression data available	1	0.126606637	0.78125	0.098911435	-0.682389989
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	RAB8A_HUMAN	Ras-related protein Rab-8A	4li0B	4li0BC	RAB8A_HUMAN - R3GEF_HUMAN	-6.043	-11.19	25	34	73.53%	No expression data available	1	0.430312259	0.735294118	0.316406073	-1.9120419
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxA	3rpxAB	C1QBP_HUMAN - C1QBP_HUMAN	-5.402	-16.661	26	29	89.66%	No expression data available	0.5	0.82681418	0.448275862	0.370640839	-2.002201814
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	PHC3_HUMAN	Polyhomeotic-like protein 3	4pznA	4pznAC	PHC3_HUMAN - PHC3_HUMAN	-5.115	-7.747	19	22	86.36%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.152060124	0.431818182	0.065662326	-0.335862799
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	ING4_HUMAN	Inhibitor of growth protein 4	4aflA	4aflAF	ING4_HUMAN - ING4_HUMAN	-6.716	-9.225	26	26	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, cerebral cortex, cervix, uterine, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0.162465063	0.5	0.081232531	-0.54555768
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	CSF3_HUMAN	Granulocyte colony-stimulating factor	5gw9C	5gw9AC	CSF3_HUMAN - CSF3_HUMAN	-6.922	-12.973	47	52	90.38%	No expression data available	1.5	0.15377359	1.355769231	0.208481501	-1.443108951
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88B	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-8.543	-18.038	25	43	58.14%	No expression data available	1	0.415689296	0.581395349	0.241679823	-2.064670729
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88A	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-7.855	-18.038	25	44	56.82%	No expression data available	1	0.415689296	0.568181818	0.2361871	-1.85524967
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	JUN_HUMAN	Transcription factor AP-1	1jnmB	1jnmAB	JUN_HUMAN - JUN_HUMAN	-5.161	-20.025	25	40	62.50%	No expression data available	1	0.445811705	0.625	0.278632315	-1.438021379
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	ATF4_HUMAN	Cyclic AMP-dependent transcription factor ATF-4	1ci6A	1ci6AB	ATF4_HUMAN - CEBPB_MOUSE	-8.32	-20.884	25	42	59.52%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, urinary bladder, vagina"	1	0.210357134	0.595238095	0.12521258	-1.041768663
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	CREB1_HUMAN	Cyclic AMP-responsive element-binding protein 1	5zkoC	5zkoAC	CREB1_HUMAN - CREB1_HUMAN	-7.373	-18.829	25	37	67.57%	No expression data available	1	0.068354302	0.675675676	0.046185339	-0.340524505
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	GRP1_HUMAN	RAS guanyl-releasing protein 1	4l9uB	4l9uAB	GRP1_HUMAN - GRP1_HUMAN	-5.479	-20.211	25	42	59.52%	No expression data available	1	0.781480089	0.595238095	0.465166719	-2.548648456
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1	3bj4B	3bj4AB	KCNQ1_HUMAN - KCNQ1_HUMAN	-5.558	-14.446	25	35	71.43%	No expression data available	1	0.254243896	0.714285714	0.181602783	-1.009348266
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	BAP31_HUMAN	B-cell receptor-associated protein 31	4jzpB	4jzpAB	BAP31_HUMAN - BAP31_HUMAN	-8.787	-23.841	25	42	59.52%	No expression data available	1	0.975792773	0.595238095	0.580829031	-5.103744698
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	NCOR2_HUMAN	Nuclear receptor corepressor 2	2l5gB	2l5gAB	NCOR2_HUMAN - GPS2_HUMAN	-5.473	-12.421	26	35	74.29%	"adrenal gland, appendix, bone marrow, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, nasopharynx, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.358187832	0.742857143	0.266082389	-1.456268916
6yemA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	PRP19_HUMAN	Pre-mRNA-processing factor 19	5mqfG	5mqfGH	PRP19_HUMAN - PRP19_HUMAN	-6.052	-7.766	22	37	59.46%	No expression data available	1	0	0.594594595	0	0
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	PH4H_HUMAN	Phenylalanine-4-hydroxylase	2pahA	2pahAB	PH4H_HUMAN - PH4H_HUMAN	-5.336	-8.662	24	27	88.89%	No expression data available	0.5	0.209159365	0.444444444	0.092959718	-0.496033055
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	SNR40_HUMAN	U5 small nuclear ribonucleoprotein 40 kDa protein	5z58E	5z58AE	SNR40_HUMAN - PRP8_HUMAN	-6.072		23	29	79.31%	No expression data available	0.5	0.066852424	0.396551724	0.026510444	-0.160971416
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	PSMD6_HUMAN	26S proteasome non-ATPase regulatory subunit 6	5ln3R	5ln3RU	PSMD6_HUMAN - PSMD7_HUMAN	-5.624	-4.068	24	29	82.76%	No expression data available	0.5	0	0.413793103	0	0
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	RORG_HUMAN	Nuclear receptor ROR-gamma	5nu1A	5nu1AB	RORG_HUMAN - RORG_HUMAN	-5.937	-3.234	18	20	90.00%	No expression data available	0.5	0	0.45	0	0
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	NR1H2_HUMAN	Oxysterols receptor LXR-beta	5hjpB	5hjpAB	NR1H2_HUMAN - RXRB_HUMAN	-5.155	-9.982	45	48	93.75%	No expression data available	1	0.686623869	0.9375	0.643709877	-3.318324415
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2	1ovlF	1ovlCF	NR4A2_HUMAN - NR4A2_HUMAN	-6.243	-10.13	19	28	67.86%	No expression data available	0.5	0.180863211	0.339285714	0.061364304	-0.383097348
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	RM04_HUMAN	"39S ribosomal protein L4, mitochondrial"	3j7yF	3j7yFh	RM04_HUMAN - RM50_HUMAN	-5.432	-11.765	27	33	81.82%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.950798364	0.818181818	0.777925935	-4.225693676
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	RB11B_HUMAN	Ras-related protein Rab-11B	4ojkA	4ojkAC	RB11B_HUMAN - KGP2_RAT	-5.855	-12.578	25	32	78.13%	No expression data available	1	0.126606637	0.78125	0.098911435	-0.579126451
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	RAB8A_HUMAN	Ras-related protein Rab-8A	4li0B	4li0BC	RAB8A_HUMAN - R3GEF_HUMAN	-5.348	-11.19	25	34	73.53%	No expression data available	1	0.430312259	0.735294118	0.316406073	-1.692139679
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	IL2_HUMAN	Interleukin-2	1m48B	1m48AB	IL2_HUMAN - IL2_HUMAN	-8.06	-11.065	24	28	85.71%	No expression data available	0.5	0.000729254	0.428571429	0.000312537	-0.002519052
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	ATD2B_HUMAN	ATPase family AAA domain-containing protein 2B	3lxjA	3lxjAC	ATD2B_HUMAN - ATD2B_HUMAN	-8.243	-7.26	17	22	77.27%	No expression data available	0.5	0.025858619	0.386363636	0.00999083	-0.082354412
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	NU3M_HUMAN	NADH-ubiquinone oxidoreductase chain 3	5xtcj	5xtcjk	NU3M_HUMAN - NU4LM_HUMAN	-7.078	-5.465	21	21	100.00%	No expression data available	0.5	0.162465063	0.5	0.081232531	-0.574963856
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	LYRM4_HUMAN	LYR motif-containing protein 4	5usrB	5usrBK	LYRM4_HUMAN - ACP_ECOLI	-6.033	-9.179	25	25	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.194095986	0.5	0.097047993	-0.585490541
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	OPTN_HUMAN	Optineurin	5eoaA	5eoaAC	OPTN_HUMAN - TBK1_HUMAN	-5.502	-19.034	25	42	59.52%	No expression data available	1	0.098883375	0.595238095	0.058859152	-0.323843052
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	SGTA_HUMAN	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	4godB	4godAB	SGTA_HUMAN - SGTA_HUMAN	-7.048	-19.607	38	43	88.37%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.961726635	0.88372093	0.849897957	-5.990080801
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	JUN_HUMAN	Transcription factor AP-1	1jnmB	1jnmAB	JUN_HUMAN - JUN_HUMAN	-6.005	-20.025	25	40	62.50%	No expression data available	1	0.445811705	0.625	0.278632315	-1.673187054
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	BAP31_HUMAN	B-cell receptor-associated protein 31	4jzpB	4jzpAB	BAP31_HUMAN - BAP31_HUMAN	-6.226	-23.841	25	42	59.52%	No expression data available	1	0.975792773	0.595238095	0.580829031	-3.616241549
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	TBK1_HUMAN	Serine/threonine-protein kinase TBK1	5ep6B	5ep6BC	TBK1_HUMAN - AZI2_HUMAN	-6.281	-12.548	25	35	71.43%	No expression data available	1	0.493264034	0.714285714	0.352331453	-2.212993854
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1	3bj4B	3bj4AB	KCNQ1_HUMAN - KCNQ1_HUMAN	-5.947	-14.446	25	35	71.43%	No expression data available	1	0.254243896	0.714285714	0.181602783	-1.079991749
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	TSC1_HUMAN	Hamartin	5ejcC	5ejcCD	TSC1_HUMAN - TSC1_HUMAN	-7.347	-18.024	25	34	73.53%	No expression data available	1	0.737698633	0.735294118	0.542425465	-3.985199893
6v6xA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	NCOR2_HUMAN	Nuclear receptor corepressor 2	2l5gB	2l5gAB	NCOR2_HUMAN - GPS2_HUMAN	-6.715	-12.421	26	35	74.29%	"adrenal gland, appendix, bone marrow, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, nasopharynx, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.358187832	0.742857143	0.266082389	-1.786743243
7nuhA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	DCHS_HUMAN	Histidine decarboxylase	4e1oF	4e1oBF	DCHS_HUMAN - DCHS_HUMAN	-5.829	-5.556	29	39	74.36%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.265027401	0.743589744	0.197071657	-1.148730688
7nuhA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	KLOTB_HUMAN	Beta-klotho	5wi9A	5wi9AB	KLOTB_HUMAN - KLOTB_HUMAN	-6.103	-6.38	26	34	76.47%	No expression data available	1	0.078403832	0.764705882	0.059955871	-0.365910682
7nuhA	INFLUENZA A VIRUS (A/CALIFORNIA/07/2009(H1N1))	"POLYMERASE ACIDIC PROTEIN,POLYMERASE ACIDIC PROTEIN"	SPHK1_HUMAN	Sphingosine kinase 1	4l02A	4l02AC	SPHK1_HUMAN - SPHK1_HUMAN	-5.223	-7.978	20	21	95.24%	No expression data available	0.5	0.047150172	0.476190476	0.022452463	-0.117269213
