Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	Unnamed: 19
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	GGA3_HUMAN	ADP-ribosylation factor-binding protein GGA3	1wr6B	1wr6AB	GGA3_HUMAN - GGA3_HUMAN	-5.276	-8.759	23	30	76.67%	"adrenal gland, appendix, bone marrow, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.323002292	0.766666667	0.247635091	-1.306522738	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88B	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-8.886	-18.038	25	43	58.14%	No expression data available	1	0.415689296	0.581395349	0.241679823	-2.147566909	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88A	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-9.733	-18.038	25	44	56.82%	No expression data available	1	0.415689296	0.568181818	0.2361871	-2.298809043	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	NEMO_HUMAN	NF-kappa-B essential modulator	3brvB	3brvBC	NEMO_HUMAN - IKKB_HUMAN	-5.185	-15.228	25	42	59.52%	No expression data available	1	0.32867455	0.595238095	0.195639613	-1.014391394	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	ATF4_HUMAN	Cyclic AMP-dependent transcription factor ATF-4	1ci6A	1ci6AB	ATF4_HUMAN - CEBPB_MOUSE	-8.791	-20.884	25	42	59.52%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, urinary bladder, vagina"	1	0.210357134	0.595238095	0.12521258	-1.100743788	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	CREB1_HUMAN	Cyclic AMP-responsive element-binding protein 1	5zkoC	5zkoAC	CREB1_HUMAN - CREB1_HUMAN	-7.573	-18.829	25	37	67.57%	No expression data available	1	0.068354302	0.675675676	0.046185339	-0.349761573	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	JUN_HUMAN	Transcription factor AP-1	1jnmB	1jnmAB	JUN_HUMAN - JUN_HUMAN	-5.618	-20.025	25	40	62.50%	No expression data available	1	0.445811705	0.625	0.278632315	-1.565356348	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2m59B	2m59AB	VGFR2_HUMAN - VGFR2_HUMAN	-8.562	-10.954	25	32	78.13%	No expression data available	1	0	0.78125	0	0	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	BAP31_HUMAN	B-cell receptor-associated protein 31	4jzpB	4jzpAB	BAP31_HUMAN - BAP31_HUMAN	-9.008	-23.841	25	42	59.52%	No expression data available	1	0.975792773	0.595238095	0.580829031	-5.232107914	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	GRP1_HUMAN	RAS guanyl-releasing protein 1	4l9uB	4l9uAB	GRP1_HUMAN - GRP1_HUMAN	-8.284	-20.211	25	42	59.52%	No expression data available	1	0.781480089	0.595238095	0.465166719	-3.853441104	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1	3bj4B	3bj4AB	KCNQ1_HUMAN - KCNQ1_HUMAN	-7.113	-14.446	25	35	71.43%	No expression data available	1	0.254243896	0.714285714	0.181602783	-1.291740593	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	MYPT1_HUMAN	Protein phosphatase 1 regulatory subunit 12A	5huzB	5huzAB	MYPT1_HUMAN - MYPT1_HUMAN	-9.853	-12.668	30	44	68.18%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.265027401	0.681818182	0.1807005	-1.78044203	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	GABR1_HUMAN	Gamma-aminobutyric acid type B receptor subunit 1	4pasA	4pasAB	GABR1_HUMAN - GABR2_HUMAN	-9.226	-21.342	25	36	69.44%	No expression data available	1	0.576074139	0.694444444	0.400051485	-3.690875003	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	TSC1_HUMAN	Hamartin	5ejcC	5ejcCD	TSC1_HUMAN - TSC1_HUMAN	-7.684	-18.024	25	34	73.53%	No expression data available	1	0.737698633	0.735294118	0.542425465	-4.167997275	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	EPHA2_HUMAN	Ephrin type-A receptor 2	2k9yA	2k9yAB	EPHA2_HUMAN - EPHA2_HUMAN	-6.172	-8.385	25	30	83.33%	No expression data available	1	0	0.833333333	0	0	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	KLOTB_HUMAN	Beta-klotho	5wi9A	5wi9AB	KLOTB_HUMAN - KLOTB_HUMAN	-5.733	-6.38	26	34	76.47%	No expression data available	1	0.078403832	0.764705882	0.059955871	-0.34372701	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	PTN23_HUMAN	Tyrosine-protein phosphatase non-receptor type 23	5mk0A	5mk0AB	PTN23_HUMAN - ZFY16_HUMAN	-8.72	-8.605	20	20	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.767018926	0.5	0.383509463	-3.344202516	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	PSMD3_HUMAN	26S proteasome non-ATPase regulatory subunit 3	5l4kS	5l4kSU	PSMD3_HUMAN - PSMD7_HUMAN	-7.152	-12.071	25	45	55.56%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.253295121	0.555555556	0.140719512	-1.006425949	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	CATK_HUMAN	Cathepsin K	5z5oA	5z5oAB	CATK_HUMAN - CATK_HUMAN	-6.548	-12.965	43	47	91.49%	No expression data available	1	0.463245067	0.914893617	0.423819955	-2.775173067	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	PH4H_HUMAN	Phenylalanine-4-hydroxylase	2pahA	2pahAB	PH4H_HUMAN - PH4H_HUMAN	-5.487	-8.662	23	27	85.19%	No expression data available	0.5	0.209159365	0.425925926	0.089086396	-0.488817056	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	NR1H2_HUMAN	Oxysterols receptor LXR-beta	5hjpB	5hjpBC	NR1H2_HUMAN - RXRB_HUMAN	-5.213	-9.437	21	23	91.30%	No expression data available	0.5	0.265027401	0.456521739	0.12099077	-0.630724883	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	CSN6_HUMAN	COP9 signalosome complex subunit 6	4d10F	4d10AF	CSN6_HUMAN - CSN1_HUMAN	-5.167	-8.957	25	34	73.53%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.162465063	0.735294118	0.119459605	-0.617247778	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	NR4A1_HUMAN	Nuclear receptor subfamily 4 group A member 1	2qw4B	2qw4BC	NR4A1_HUMAN - NR4A1_HUMAN	-5.083	-9.252	17	19	89.47%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.162465063	0.447368421	0.072681739	-0.369441277	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	APBB1_HUMAN	Amyloid-beta A4 precursor protein-binding family B member 1	5nqhA	5nqhAB	APBB1_HUMAN - APBB1_HUMAN	-6.417	-11.684	34	47	72.34%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.373681337	0.723404255	0.27032267	-1.734660571	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88B	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-6.88	-18.038	25	43	58.14%	No expression data available	1	0.415689296	0.581395349	0.241679823	-1.662757183	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88A	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-7.017	-18.038	25	44	56.82%	No expression data available	1	0.415689296	0.568181818	0.2361871	-1.65732488	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	ATF4_HUMAN	Cyclic AMP-dependent transcription factor ATF-4	1ci6A	1ci6AB	ATF4_HUMAN - CEBPB_MOUSE	-9.242	-20.884	25	42	59.52%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, urinary bladder, vagina"	1	0.210357134	0.595238095	0.12521258	-1.157214661	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2m59B	2m59AB	VGFR2_HUMAN - VGFR2_HUMAN	-6.514	-10.954	25	32	78.13%	No expression data available	1	0	0.78125	0	0	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	BAP31_HUMAN	B-cell receptor-associated protein 31	4jzpB	4jzpAB	BAP31_HUMAN - BAP31_HUMAN	-7.783	-23.841	25	42	59.52%	No expression data available	1	0.975792773	0.595238095	0.580829031	-4.52059235	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	BRMS1_HUMAN	Breast cancer metastasis-suppressor 1	2xusB	2xusAB	BRMS1_HUMAN - BRMS1_HUMAN	-5.088	-13.471	25	41	60.98%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.003130301	0.609756098	0.00190872	-0.009711567	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1	3bj4B	3bj4AB	KCNQ1_HUMAN - KCNQ1_HUMAN	-6.739	-14.446	25	35	71.43%	No expression data available	1	0.254243896	0.714285714	0.181602783	-1.223821153	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	TBK1_HUMAN	Serine/threonine-protein kinase TBK1	5ep6B	5ep6BC	TBK1_HUMAN - AZI2_HUMAN	-6.79	-12.548	25	35	71.43%	No expression data available	1	0.493264034	0.714285714	0.352331453	-2.392330563	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	TSC1_HUMAN	Hamartin	5ejcC	5ejcCD	TSC1_HUMAN - TSC1_HUMAN	-5.065	-18.024	25	34	73.53%	No expression data available	1	0.737698633	0.735294118	0.542425465	-2.747384981	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	MYBB_HUMAN	Myb-related protein B	6c48C	6c48AC	MYBB_HUMAN - LIN9_HUMAN	-5.228	-6.627	29	36	80.56%	No expression data available	1	0.281506272	0.805555556	0.226768941	-1.185548026	
3hw3B	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	PRP19_HUMAN	Pre-mRNA-processing factor 19	5mqfG	5mqfGH	PRP19_HUMAN - PRP19_HUMAN	-5.226	-7.766	22	37	59.46%	No expression data available	1	0	0.594594595	0	0	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	CIP2A_HUMAN	Protein CIP2A	5uflB	5uflAB	CIP2A_HUMAN - CIP2A_HUMAN	-5.161	-19.09	40	46	86.96%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.99895305	0.869565217	0.868654826	-4.483127557	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	HS71A_HUMAN	Heat shock 70 kDa protein 1A	3a8yA	3a8yAC	HS71A_HUMAN - BAG5_HUMAN	-5.119	-7.871	38	46	82.61%	No expression data available	1	0.649356552	0.826086957	0.536424978	-2.74595946	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	PH4H_HUMAN	Phenylalanine-4-hydroxylase	2pahA	2pahAB	PH4H_HUMAN - PH4H_HUMAN	-7.266	-8.662	24	27	88.89%	No expression data available	0.5	0.209159365	0.444444444	0.092959718	-0.67544531	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	SNR40_HUMAN	U5 small nuclear ribonucleoprotein 40 kDa protein	5z58E	5z58AE	SNR40_HUMAN - PRP8_HUMAN	-5.109		23	29	79.31%	No expression data available	0.5	0.066852424	0.396551724	0.026510444	-0.135441858	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	PSMD6_HUMAN	26S proteasome non-ATPase regulatory subunit 6	5ln3R	5ln3RU	PSMD6_HUMAN - PSMD7_HUMAN	-7.496	-4.068	24	29	82.76%	No expression data available	0.5	0	0.413793103	0	0	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	HSP7C_HUMAN	Heat shock cognate 71 kDa protein	3fzfA	3fzfAB	HSP7C_HUMAN - BAG1_HUMAN	-5.006	-9.136	46	52	88.46%	No expression data available	1.5	0.856457955	1.326923077	1.136453825	-5.689087849	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	NR4A1_HUMAN	Nuclear receptor subfamily 4 group A member 1	2qw4B	2qw4BC	NR4A1_HUMAN - NR4A1_HUMAN	-7.682	-9.252	17	19	89.47%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.162465063	0.447368421	0.072681739	-0.558341115	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2	1ovlF	1ovlCF	NR4A2_HUMAN - NR4A2_HUMAN	-6.211	-10.13	18	28	64.29%	No expression data available	0.5	0.180863211	0.321428571	0.058134604	-0.361074023	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxC	3rpxAC	C1QBP_HUMAN - C1QBP_HUMAN	-9.026	-17.223	26	32	81.25%	No expression data available	1	0.910506195	0.8125	0.739786283	-6.677310991	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	THIO_HUMAN	Thioredoxin	3qfaC	3qfaAC	THIO_HUMAN - TRXR1_HUMAN	-5.228	-8.241	23	23	100.00%	No expression data available	0.5	0.609169216	0.5	0.304584608	-1.592368331	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	OPTN_HUMAN	Optineurin	5eoaA	5eoaAC	OPTN_HUMAN - TBK1_HUMAN	-5.554	-19.034	25	42	59.52%	No expression data available	1	0.098883375	0.595238095	0.058859152	-0.326903728	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	JUN_HUMAN	Transcription factor AP-1	1jnmB	1jnmAB	JUN_HUMAN - JUN_HUMAN	-6.473	-20.025	25	40	62.50%	No expression data available	1	0.445811705	0.625	0.278632315	-1.803586977	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88A	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-9.426	-18.038	25	44	56.82%	No expression data available	1	0.415689296	0.568181818	0.2361871	-2.226299604	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88B	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-9.164	-18.038	25	43	58.14%	No expression data available	1	0.415689296	0.581395349	0.241679823	-2.2147539	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	ATF4_HUMAN	Cyclic AMP-dependent transcription factor ATF-4	1ci6A	1ci6AB	ATF4_HUMAN - CEBPB_MOUSE	-5.175	-20.884	25	42	59.52%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, urinary bladder, vagina"	1	0.210357134	0.595238095	0.12521258	-0.6479751	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	BOREA_HUMAN	Borealin	2raxB	2raxAB	BOREA_HUMAN - BIRC5_HUMAN	-5.181	-22.966	34	41	82.93%	No expression data available	1	0.32959884	0.829268293	0.273325867	-1.416101319	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	HVCN1_HUMAN	Voltage-gated hydrogen channel 1	3a2aB	3a2aAB	HVCN1_HUMAN - HVCN1_HUMAN	-7.133	-21.108	25	41	60.98%	No expression data available	1	0.719951511	0.609756098	0.438994824	-3.131350077	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2m59B	2m59AB	VGFR2_HUMAN - VGFR2_HUMAN	-6.505	-10.954	25	32	78.13%	No expression data available	1	0	0.78125	0	0	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	GRP1_HUMAN	RAS guanyl-releasing protein 1	4l9uB	4l9uAB	GRP1_HUMAN - GRP1_HUMAN	-6.621	-20.211	25	42	59.52%	No expression data available	1	0.781480089	0.595238095	0.465166719	-3.079868849	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	GABR2_HUMAN	Gamma-aminobutyric acid type B receptor subunit 2	4pasB	4pasAB	GABR2_HUMAN - GABR1_HUMAN	-7.663	-21.342	25	35	71.43%	No expression data available	1	0.576074139	0.714285714	0.411481528	-3.153182946	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2meuB	2meuAB	VGFR2_HUMAN - VGFR2_HUMAN	-6.006	-6.608	25	35	71.43%	No expression data available	1	0.345504839	0.714285714	0.246789171	-1.482215758	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	BAP31_HUMAN	B-cell receptor-associated protein 31	4jzpB	4jzpAB	BAP31_HUMAN - BAP31_HUMAN	-10.773	-23.841	25	42	59.52%	No expression data available	1	0.975792773	0.595238095	0.580829031	-6.257271154	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	NUP54_HUMAN	Nucleoporin p54	4jnuD	4jnuAD	NUP54_HUMAN - NUP54_HUMAN	-5.895	-17.834	25	36	69.44%	"adrenal gland, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, colon, endometrium 2, epididymis, esophagus, fallopian tube, hippocampus, kidney, nasopharynx, ovary, pancreas, parathyroid gland, placenta, rectum, skin 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina"	1	0.175932169	0.694444444	0.122175117	-0.720222316	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	TSC1_HUMAN	Hamartin	5ejcC	5ejcCD	TSC1_HUMAN - TSC1_HUMAN	-7.106	-18.024	25	34	73.53%	No expression data available	1	0.737698633	0.735294118	0.542425465	-3.854475356	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	GABR1_HUMAN	Gamma-aminobutyric acid type B receptor subunit 1	4pasA	4pasAB	GABR1_HUMAN - GABR2_HUMAN	-8.461	-21.342	25	36	69.44%	No expression data available	1	0.576074139	0.694444444	0.400051485	-3.384835616	
3hw3D	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	EPHA2_HUMAN	Ephrin type-A receptor 2	2k9yA	2k9yAB	EPHA2_HUMAN - EPHA2_HUMAN	-7.174	-8.385	25	30	83.33%	No expression data available	1	0	0.833333333	0	0	
3hw5A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	KLOTB_HUMAN	Beta-klotho	5wi9A	5wi9AB	KLOTB_HUMAN - KLOTB_HUMAN	-5.024	-6.38	26	34	76.47%	No expression data available	1	0.078403832	0.764705882	0.059955871	-0.301218297	
